Dataset,Model,resolution,n,mean,std,sem,ci_lower,ci_upper
stl10,ResNet18,8,8000,0.4464692479390651,0.05986205844454051,0.0006692781597752895,0.44515728833226287,0.44778120754586737
stl10,VGG16,96,8000,0.999999997138977,1.0426688248372638e-07,1.1657391851779714e-09,0.9999999948538244,0.9999999994241296
stl10,VGG16,80,8000,0.923701683305204,0.03133768713696453,0.0003503659934793673,0.9230148746527351,0.9243884919576728
stl10,VGG16,64,8000,0.8469552837908269,0.05619904134356343,0.0006283243835726448,0.8457236042579208,0.8481869633237329
stl10,VGG16,56,8000,0.7891904321499169,0.07110949201689147,0.0007950282899762398,0.787631969517483,0.7907488947823508
stl10,VGG16,48,8000,0.7239543508552014,0.08419072176854693,0.0009412808847462113,0.722109195023646,0.7257995066867569
stl10,VGG16,40,8000,0.6587941595651209,0.09502076929059873,0.001062364497040516,0.6567116482991237,0.6608766708311181
stl10,VGG16,32,8000,0.5775975562259554,0.10473540959893379,0.0011709774775724997,0.5753021352136127,0.5798929772382981
stl10,VGG16,30,8000,0.5441678488366306,0.10635685843862704,0.001189105826710461,0.5418368915357363,0.5464988061375249
stl10,VGG16,28,8000,0.5249971192032099,0.10702134154768693,0.0011965349737192525,0.5226515988381454,0.5273426395682744
stl10,VGG16,26,8000,0.4938415918741375,0.10794044711800448,0.0012068108863878962,0.4914759280423434,0.4962072557059316
stl10,VGG16,24,8000,0.4649015696477145,0.10779853797231682,0.0012052242939059638,0.4625390159506504,0.4672641233447786
stl10,VGG16,16,8000,0.35867628060374407,0.10106016422113002,0.001129886985078694,0.35646140766485646,0.3608911535426317
stl10,VGG16,12,8000,0.31096070461953057,0.09404581530688905,0.0010514641801279707,0.3088995608153005,0.31302184842376063
stl10,VGG16,8,8000,0.2650780512932688,0.08866424867824062,0.0009912964360924595,0.26313485194704034,0.2670212506394972
stl10,ViT,96,8000,0.9999999971017242,9.886296871005265e-08,1.105321592465562e-09,0.9999999949350058,0.9999999992684425
stl10,ViT,80,8000,0.9547499838694931,0.0269636827458925,0.00030146313771776907,0.9541590375583833,0.9553409301806028
stl10,ViT,64,8000,0.89749992249161,0.0551149328377351,0.0006162036820025553,0.8962920026924318,0.8987078422907883
stl10,ViT,56,8000,0.857059950247407,0.07259594492067192,0.000811647338667265,0.8554689099486208,0.8586509905461932
stl10,ViT,48,8000,0.7876802850365638,0.09877072283809613,0.0011042902522638695,0.7855155883644924,0.7898449817086353
stl10,ViT,40,8000,0.7162950786668807,0.12010866220624698,0.0013428556668986405,0.7136627316120657,0.7189274257216957
stl10,ViT,32,8000,0.6070282613560557,0.14461950653588676,0.0016168952374335896,0.6038587253283807,0.6101977973837307
stl10,ViT,30,8000,0.5702284817034379,0.148531052654487,0.0016606276525251674,0.5669732187455321,0.5734837446613437
stl10,ViT,28,8000,0.5385680090961977,0.15281713836031957,0.0017085475475033265,0.5352188106562278,0.5419172075361677
stl10,ViT,26,8000,0.4906686492068693,0.15489735620879735,0.00173180509008935,0.48727385992252364,0.494063438491215
stl10,ViT,24,8000,0.44433292968105526,0.15505134139901428,0.0017335266968536163,0.44093476559880157,0.44773109376330894
stl10,ViT,16,8000,0.25472054904757535,0.13022520657260095,0.0014559620714014406,0.2518664839644474,0.2575746141307033
stl10,ViT,12,8000,0.16445562173303915,0.09911151119994632,0.0011081003819790585,0.16228345621380758,0.16662778725227073
stl10,ViT,8,8000,0.09328366777577318,0.06663861249393409,0.000745042337313517,0.09182319063687919,0.09474414491466718
